Solution of SHM
Step Size = .0050 Euler Method
Time	y	v	Δy	Δv
1.950000	-0.740317	1.402424	0.014384	-0.026892
1.955000	-0.733305	1.417230	0.014286	-0.027249
1.960000	-0.726219	1.431897	0.014186	-0.027604
1.965000	-0.719059	1.446421	0.014083	-0.027958
1.970000	-0.711827	1.460802	0.013978	-0.028311
1.975000	-0.704523	1.475039	0.013872	-0.028663
1.980000	-0.697148	1.489129	0.013763	-0.029013
1.985000	-0.689702	1.503072	0.013652	-0.029361
1.990000	-0.682187	1.516866	0.013539	-0.029708
1.995000	-0.674602	1.530510	0.013424	-0.030053
2.000000	-0.666950	1.544002	0.013306	-0.030397
2.005000	-0.659230	1.557341	0.013187	-0.030739
2.010000	-0.651443	1.570525	0.013065	-0.031079
2.015000	-0.643591	1.583554	0.012942	-0.031418
2.020000	-0.635673	1.596426	0.012816	-0.031754
2.025000	-0.627691	1.609140	0.012688	-0.032089
2.030000	-0.619645	1.621693	0.012558	-0.032422
2.035000	-0.611537	1.634086	0.012426	-0.032753
2.040000	-0.603366	1.646317	0.012293	-0.033082
2.045000	-0.595134	1.658384	0.012156	-0.033409
2.050000	-0.586843	1.670287	0.012019	-0.033733
2.055000	-0.578491	1.682024	0.011879	-0.034055
2.060000	-0.570081	1.693594	0.011736	-0.034376
2.065000	-0.561613	1.704995	0.011593	-0.034693
2.070000	-0.553088	1.716228	0.011446	-0.035009
2.075000	-0.544507	1.727289	0.011298	-0.035322
2.080000	-0.535870	1.738180	0.011148	-0.035633
2.085000	-0.527180	1.748897	0.010996	-0.035941
2.090000	-0.518435	1.759441	0.010842	-0.036247
2.095000	-0.509638	1.769809	0.010686	-0.036550
2.100000	-0.500789	1.780002	0.010528	-0.036851
2.105000	-0.491889	1.790018	0.010368	-0.037148
2.110000	-0.482939	1.799855	0.010206	-0.037444
2.115000	-0.473939	1.809514	0.010043	-0.037736
2.120000	-0.464892	1.818993	0.009877	-0.038026
2.125000	-0.455797	1.828291	0.009709	-0.038312
2.130000	-0.446656	1.837407	0.009540	-0.038596
2.135000	-0.437468	1.846340	0.009369	-0.038877
2.140000	-0.428237	1.855089	0.009195	-0.039155
2.145000	-0.418961	1.863654	0.009021	-0.039430
2.150000	-0.409643	1.872033	0.008844	-0.039702
2.155000	-0.400283	1.880226	0.008665	-0.039970
2.160000	-0.390882	1.888232	0.008485	-0.040236
2.165000	-0.381441	1.896049	0.008303	-0.040498
2.170000	-0.371960	1.903678	0.008118	-0.040757
2.175000	-0.362442	1.911117	0.007933	-0.041012
2.180000	-0.352886	1.918366	0.007746	-0.041264
2.185000	-0.343295	1.925424	0.007556	-0.041514
2.190000	-0.333667	1.932290	0.007365	-0.041759
2.195000	-0.324006	1.938963	0.007173	-0.042001
2.200000	-0.314311	1.945443	0.006978	-0.042239
2.205000	-0.304584	1.951730	0.006782	-0.042474
2.210000	-0.294825	1.957821	0.006585	-0.042705
2.215000	-0.285036	1.963718	0.006385	-0.042933
2.220000	-0.275218	1.969419	0.006185	-0.043157
2.225000	-0.265371	1.974923	0.005982	-0.043377
2.230000	-0.255496	1.980230	0.005778	-0.043593
2.235000	-0.245595	1.985340	0.005572	-0.043806
2.240000	-0.235668	1.990252	0.005365	-0.044014
2.245000	-0.225717	1.994966	0.005156	-0.044219
2.250000	-0.215742	1.999480	0.004946	-0.044420
2.255000	-0.205745	2.003795	0.004734	-0.044616
2.260000	-0.195726	2.007910	0.004521	-0.044809
2.265000	-0.185686	2.011824	0.004306	-0.044998
2.270000	-0.175627	2.015538	0.004091	-0.045182
2.275000	-0.165549	2.019050	0.003873	-0.045363
2.280000	-0.155454	2.022361	0.003654	-0.045539
2.285000	-0.145342	2.025470	0.003434	-0.045711
2.290000	-0.135215	2.028377	0.003212	-0.045878
2.295000	-0.125073	2.031081	0.002989	-0.046042
2.300000	-0.114918	2.033583	0.002765	-0.046201
2.305000	-0.104750	2.035881	0.002540	-0.046356
2.310000	-0.094570	2.037976	0.002313	-0.046506
2.315000	-0.084380	2.039868	0.002085	-0.046652
2.320000	-0.074181	2.041555	0.001855	-0.046793
2.325000	-0.063973	2.043039	0.001625	-0.046930
2.330000	-0.053758	2.044318	0.001393	-0.047062
2.335000	-0.043536	2.045393	0.001160	-0.047190
2.340000	-0.033309	2.046264	0.000926	-0.047313
2.345000	-0.023078	2.046930	0.000691	-0.047432
2.350000	-0.012844	2.047392	0.000455	-0.047545
2.355000	-0.002607	2.047649	0.000218	-0.047654
2.360000	0.007632	2.047701	-0.000021	-0.047759
2.365000	0.017870	2.047548	-0.000260	-0.047858
2.370000	0.028108	2.047191	-0.000501	-0.047953
2.375000	0.038344	2.046629	-0.000742	-0.048043
2.380000	0.048577	2.045862	-0.000984	-0.048128
2.385000	0.058806	2.044890	-0.001227	-0.048208
2.390000	0.069031	2.043714	-0.001472	-0.048284
2.395000	0.079249	2.042333	-0.001716	-0.048354
2.400000	0.089461	2.040748	-0.001962	-0.048419
2.405000	0.099665	2.038959	-0.002209	-0.048479
2.410000	0.109860	2.036966	-0.002456	-0.048535
2.415000	0.120044	2.034769	-0.002704	-0.048585
2.420000	0.130218	2.032368	-0.002954	-0.048630
2.425000	0.140380	2.029763	-0.003203	-0.048670
2.430000	0.150529	2.026956	-0.003454	-0.048705
2.435000	0.160664	2.023945	-0.003704	-0.048735
2.440000	0.170783	2.020732	-0.003956	-0.048760
2.445000	0.180887	2.017317	-0.004208	-0.048779
2.450000	0.190974	2.013699	-0.004461	-0.048794
2.455000	0.201042	2.009879	-0.004715	-0.048802
2.460000	0.211092	2.005858	-0.004969	-0.048806
2.465000	0.221121	2.001637	-0.005223	-0.048804
2.470000	0.231129	1.997214	-0.005478	-0.048798
2.475000	0.241115	1.992592	-0.005734	-0.048785
2.480000	0.251078	1.987769	-0.005989	-0.048768
2.485000	0.261017	1.982748	-0.006246	-0.048745
2.490000	0.270931	1.977527	-0.006502	-0.048717
2.495000	0.280818	1.972109	-0.006760	-0.048683
2.500000	0.290679	1.966492	-0.007017	-0.048644
2.505000	0.300511	1.960679	-0.007274	-0.048599
2.510000	0.310315	1.954669	-0.007532	-0.048549
2.515000	0.320088	1.948462	-0.007790	-0.048494
2.520000	0.329830	1.942061	-0.008048	-0.048433
2.525000	0.339541	1.935464	-0.008307	-0.048366
2.530000	0.349218	1.928673	-0.008565	-0.048295
2.535000	0.358861	1.921689	-0.008824	-0.048217
2.540000	0.368470	1.914512	-0.009083	-0.048134
2.545000	0.378042	1.907142	-0.009342	-0.048046
2.550000	0.387578	1.899581	-0.009600	-0.047952
2.555000	0.397076	1.891830	-0.009859	-0.047852
